time,5min,10min,15min,20min,25min
00:00:30,0.004514,0.001929,0.001151,0.000789,0.000583
00:01:00,0.010924,0.004532,0.00266,0.0018,0.001318
00:01:30,0.023755,0.010158,0.006095,0.004208,0.003143
00:02:00,0.040537,0.017642,0.010661,0.007401,0.005545
00:02:30,0.059811,0.026896,0.016523,0.011591,0.008759
00:03:00,0.080534,0.037367,0.023336,0.016545,0.012597
00:03:30,0.100609,0.04802,0.030504,0.021889,0.016822
00:04:00,0.120647,0.058967,0.038018,0.02759,0.02138
00:04:30,0.139472,0.069393,0.045304,0.033177,0.02592
00:05:00,0.158086,0.079862,0.052658,0.038871,0.030568
00:05:30,0.154783,0.089699,0.059624,0.044306,0.035018
00:06:00,0.143585,0.099559,0.066633,0.049776,0.039526
00:06:30,0.13114,0.108733,0.073206,0.05493,0.043801
00:07:00,0.118607,0.117975,0.079839,0.060146,0.048112
00:07:30,0.107113,0.126313,0.085958,0.065021,0.05216
00:08:00,0.096745,0.134773,0.092184,0.069971,0.056271
00:08:30,0.088139,0.142116,0.097795,0.074491,0.060086
00:09:00,0.079997,0.149654,0.103514,0.079103,0.063975
00:09:30,0.073156,0.155971,0.108501,0.083234,0.067514
00:10:00,0.066498,0.162443,0.113608,0.08747,0.071124
00:10:30,0.060931,0.155411,0.11795,0.09117,0.074332
00:11:00,0.05543,0.143626,0.122421,0.094966,0.077633
00:11:30,0.050869,0.130669,0.1261,0.098188,0.080495
00:12:00,0.046306,0.118473,0.129898,0.101522,0.083442
00:12:30,0.042548,0.108042,0.132948,0.104279,0.085942
00:13:00,0.038756,0.098066,0.136106,0.107128,0.088511
00:13:30,0.035639,0.089698,0.138588,0.109375,0.090607
00:14:00,0.032478,0.08153,0.141133,0.111753,0.092822
00:14:30,0.029886,0.074794,0.143074,0.113666,0.094639
00:15:00,0.027242,0.068106,0.145138,0.115663,0.096536
00:15:30,0.025076,0.062652,0.13769,0.117237,0.098063
00:16:00,0.022858,0.057177,0.126866,0.118878,0.099655
00:16:30,0.02104,0.052722,0.11637,0.120154,0.100918
00:17:00,0.019177,0.048225,0.105972,0.121486,0.102237
00:17:30,0.017645,0.04457,0.097084,0.122512,0.103273
00:18:00,0.016074,0.040853,0.088379,0.123585,0.104355
00:18:30,0.014789,0.037832,0.081167,0.117432,0.105199
00:19:00,0.013465,0.034747,0.074015,0.108651,0.106082
00:19:30,0.012383,0.032232,0.06816,0.107393,0.106766
00:20:00,0.011269,0.029656,0.062307,0.108647,0.107482
00:20:30,0.01037,0.027547,0.057538,0.103972,0.108034
00:21:00,0.009443,0.025385,0.052728,0.097083,0.108613
00:21:30,0.008705,0.023609,0.04882,0.090326,0.109057
00:22:00,0.007946,0.021778,0.044852,0.083486,0.109524
00:22:30,0.007743,0.020273,0.041623,0.077539,0.109881
00:23:00,0.007569,0.01872,0.038335,0.071638,0.110256
00:23:30,0.00742,0.017436,0.035653,0.066673,0.104836
00:24:00,0.007283,0.016106,0.03291,0.061708,0.097279
00:24:30,0.007156,0.015007,0.030667,0.057575,0.095907
00:25:00,0.007039,0.013869,0.028361,0.053418,0.096558
00:25:30,0.006923,0.012923,0.026476,0.049979,0.09243
00:26:00,0.00682,0.011941,0.02453,0.046491,0.086515
00:26:30,0.006712,0.011125,0.022927,0.043616,0.08075
00:27:00,0.006609,0.010281,0.021278,0.040686,0.074858
00:27:30,0.006502,0.00958,0.019913,0.03827,0.069738
00:28:00,0.006398,0.00885,0.0185,0.035799,0.064638
00:28:30,0.006291,0.008241,0.017327,0.033756,0.060322
00:29:00,0.006186,0.007609,0.016116,0.031663,0.055996
00:29:30,0.006077,0.007084,0.015107,0.029931,0.052384
00:30:00,0.005971,0.00654,0.014059,0.028144,0.048736
00:30:30,0.005865,0.006094,0.013184,0.026665,0.045703
00:31:00,0.005758,0.005629,0.012275,0.025138,0.042627
00:31:30,0.005651,0.005533,0.01152,0.023865,0.040077
00:32:00,0.005543,0.005454,0.010733,0.022548,0.037475
00:32:30,0.005436,0.005378,0.010071,0.021449,0.03532
00:33:00,0.005327,0.005307,0.009381,0.020311,0.03311
00:33:30,0.005222,0.005235,0.008801,0.019356,0.031281
00:34:00,0.005114,0.005168,0.008198,0.018365,0.0294
00:34:30,0.005011,0.005098,0.007691,0.017531,0.027834
00:35:00,0.004905,0.005033,0.007165,0.016669,0.026225
00:35:30,0.004804,0.004964,0.006721,0.015942,0.024884
00:36:00,0.0047,0.004897,0.006257,0.015184,0.023497
00:36:30,0.004602,0.004826,0.005867,0.014542,0.022336
00:37:00,0.004504,0.004757,0.00546,0.013872,0.021138
00:37:30,0.004411,0.004685,0.005119,0.013304,0.020134
00:38:00,0.004314,0.004614,0.004763,0.012712,0.019092
00:38:30,0.004224,0.004541,0.004693,0.012211,0.018215
00:39:00,0.00413,0.004468,0.004637,0.011686,0.017305
00:39:30,0.004043,0.004395,0.00458,0.011238,0.016541
00:40:00,0.003952,0.004321,0.004527,0.010769,0.015747
00:40:30,0.003868,0.004248,0.00447,0.010368,0.015074
00:41:00,0.003781,0.004174,0.004416,0.009948,0.014372
00:41:30,0.003701,0.004104,0.004359,0.009588,0.013777
00:42:00,0.003618,0.004031,0.004303,0.009211,0.013156
00:42:30,0.003542,0.00396,0.004245,0.008887,0.012628
00:43:00,0.003462,0.003887,0.004189,0.008551,0.012081
00:43:30,0.003389,0.003817,0.00413,0.00826,0.011613
00:44:00,0.003313,0.003744,0.004072,0.007954,0.011124
00:44:30,0.003244,0.003675,0.004012,0.00769,0.010705
00:45:00,0.003172,0.003604,0.003952,0.007413,0.010267
00:45:30,0.003106,0.003537,0.003893,0.007173,0.009891
00:46:00,0.003037,0.003467,0.003835,0.006921,0.009498
00:46:30,0.002974,0.003402,0.003776,0.006702,0.00916
00:47:00,0.002909,0.003334,0.003715,0.006473,0.008807
00:47:30,0.00285,0.003271,0.003655,0.006274,0.008505
00:48:00,0.002789,0.003205,0.003594,0.006065,0.008188
00:48:30,0.002733,0.003144,0.003535,0.005883,0.007913
00:49:00,0.002675,0.003081,0.003474,0.005692,0.007625
00:49:30,0.002621,0.003022,0.003415,0.005527,0.007376
00:50:00,0.002565,0.002961,0.003354,0.005354,0.007114
00:50:30,0.002514,0.002904,0.003296,0.005201,0.006887
00:51:00,0.002461,0.002845,0.003236,0.005041,0.00665
00:51:30,0.002413,0.002791,0.003179,0.004901,0.006443
00:52:00,0.002362,0.002736,0.003121,0.004753,0.006226
00:52:30,0.002316,0.002685,0.003065,0.004623,0.006037
00:53:00,0.002268,0.002631,0.003008,0.004486,0.005839
00:53:30,0.002224,0.002582,0.002954,0.004367,0.005667
00:54:00,0.002178,0.00253,0.002898,0.00424,0.005487
00:54:30,0.002137,0.002483,0.002846,0.004129,0.00533
00:55:00,0.002093,0.002433,0.002792,0.004013,0.005165
00:55:30,0.002054,0.002388,0.002742,0.00391,0.00502
00:56:00,0.002013,0.00234,0.00269,0.003802,0.004867
00:56:30,0.001975,0.002297,0.002642,0.003706,0.004733
00:57:00,0.001936,0.002251,0.002592,0.003606,0.004592
00:57:30,0.0019,0.00221,0.002546,0.003517,0.004468
00:58:00,0.001863,0.002166,0.002498,0.003424,0.004338
00:58:30,0.001829,0.002126,0.002453,0.003341,0.004224
00:59:00,0.001793,0.002085,0.002406,0.003255,0.004103
00:59:30,0.001761,0.002047,0.002363,0.003178,0.003997
01:00:00,0.001727,0.002007,0.002317,0.003098,0.003886
01:00:30,0.001697,0.001971,0.002276,0.003027,0.003787
01:01:00,0.001664,0.001933,0.002232,0.002952,0.003684
01:01:30,0.001635,0.001898,0.002193,0.002885,0.003593
01:02:00,0.001605,0.001862,0.002151,0.002815,0.003497
01:02:30,0.001577,0.001829,0.002113,0.002752,0.003412
01:03:00,0.001548,0.001795,0.002072,0.002686,0.003322
01:03:30,0.001521,0.001763,0.002036,0.002628,0.003243
01:04:00,0.001493,0.00173,0.001997,0.002566,0.00316
01:04:30,0.001468,0.0017,0.001962,0.00251,0.003087
01:05:00,0.001441,0.001669,0.001925,0.002452,0.00301
01:05:30,0.001417,0.00164,0.001892,0.0024,0.002942
01:06:00,0.001392,0.00161,0.001857,0.002346,0.00287
01:06:30,0.001369,0.001583,0.001825,0.002297,0.002806
01:07:00,0.001345,0.001554,0.001791,0.002245,0.002738
