[TIMESERIES]
;;Name           Date       Time       Value     
;;-------------- ---------- ---------- ----------
;5 mins Rainfall
rain5                       00:00      47.780861 
rain5                       00:01      47.780861 
rain5                       00:02      47.780861 
rain5                       00:03      47.780861 
rain5                       00:04      47.780861 
;
;10 mins Rainfall
rain10                      00:00      29.880404 
rain10                      00:01      29.880404 
rain10                      00:02      29.880404 
rain10                      00:03      29.880404 
rain10                      00:04      29.880404 
rain10                      00:05      29.880404 
rain10                      00:06      29.880404 
rain10                      00:07      29.880404 
rain10                      00:08      29.880404 
rain10                      00:09      29.880404 
;
;15 mins Rainfall
rain15                      00:00      22.705529 
rain15                      00:01      22.705529 
rain15                      00:02      22.705529 
rain15                      00:03      22.705529 
rain15                      00:04      22.705529 
rain15                      00:05      22.705529 
rain15                      00:06      22.705529 
rain15                      00:07      22.705529 
rain15                      00:08      22.705529 
rain15                      00:09      22.705529 
rain15                      00:10      22.705529 
rain15                      00:11      22.705529 
rain15                      00:12      22.705529 
rain15                      00:13      22.705529 
rain15                      00:14      22.705529 
;
;20 mins Rainfall
rain20                      00:00      18.686112 
rain20                      00:01      18.686112 
rain20                      00:02      18.686112 
rain20                      00:03      18.686112 
rain20                      00:04      18.686112 
rain20                      00:05      18.686112 
rain20                      00:06      18.686112 
rain20                      00:07      18.686112 
rain20                      00:08      18.686112 
rain20                      00:09      18.686112 
rain20                      00:10      18.686112 
rain20                      00:11      18.686112 
rain20                      00:12      18.686112 
rain20                      00:13      18.686112 
rain20                      00:14      18.686112 
rain20                      00:15      18.686112 
rain20                      00:16      18.686112 
rain20                      00:17      18.686112 
rain20                      00:19      18.686112 
;
;25 mins Rainfall
rain25                      00:00      16.065279 
rain25                      00:01      16.065279 
rain25                      00:02      16.065279 
rain25                      00:03      16.065279 
rain25                      00:04      16.065279 
rain25                      00:05      16.065279 
rain25                      00:06      16.065279 
rain25                      00:07      16.065279 
rain25                      00:08      16.065279 
rain25                      00:09      16.065279 
rain25                      00:10      16.065279 
rain25                      00:11      16.065279 
rain25                      00:12      16.065279 
rain25                      00:13      16.065279 
rain25                      00:14      16.065279 
rain25                      00:15      16.065279 
rain25                      00:16      16.065279 
rain25                      00:17      16.065279 
rain25                      00:18      16.065279 
rain25                      00:19      16.065279 
rain25                      00:20      16.065279 
rain25                      00:21      16.065279 
rain25                      00:22      16.065279 
rain25                      00:24      16.065279
